Wall time,Step,Value
1550943772.338912,1866,-1.7293055057525635
1550943775.2641225,1869,-2.3063008785247803
1550943779.622089,1877,-2.8820745944976807
1550943801.5607688,1917,-2.5011558532714844
1550943809.9323018,1934,-2.0289978981018066
1550943816.9966278,1944,-2.283522129058838
1550943818.7081058,1947,-2.798365831375122
1550943853.8066266,2001,-1.2869057655334473
1550943878.2130961,2036,-2.4982032775878906
1550943901.675442,2077,-1.0951844453811646
1550943907.0614512,2085,-1.2046606540679932
1550943910.0967884,2089,-2.3140149116516113
1550943919.2815826,2096,-3.26218318939209
1550943978.8402932,2187,-2.644484758377075
1550943989.5464864,2199,-1.7132529020309448
1550944003.1025326,2211,-2.0407025814056396
1550944013.485802,2231,-2.655031681060791
1550944016.696776,2236,-3.0179243087768555
1550944016.794176,2237,-1.5878061056137085
1550944031.3443205,2257,-2.4177088737487793
1550944038.2195168,2262,-4.102320671081543
1550944072.1388962,2307,-1.8461833000183105
1550944080.6847138,2319,-3.6943795680999756
1550944103.4144895,2354,-2.336127758026123
1550944125.5026178,2389,-1.8208487033843994
1550944125.5987964,2390,-1.3705174922943115
1550944127.597873,2392,-1.680052638053894
1550944155.935908,2436,-1.181833028793335
1550944170.215468,2453,-2.6984379291534424
1550944173.0013788,2455,-1.3071506023406982
1550944175.1610928,2460,-2.121058225631714
1550944191.8407328,2485,-1.2929117679595947
1550944191.9367003,2486,-1.7333414554595947
1550944196.5757644,2496,-1.7089598178863525
1550944196.8066766,2498,-0.8491954207420349
1550944201.2379935,2503,-3.066903829574585
1550944209.2499537,2517,-1.6688380241394043
1550944221.3169403,2532,-3.044896364212036
1550944235.6904643,2547,-1.1103308200836182
1550944240.3419921,2553,-1.5176724195480347
1550944327.576396,2685,-2.669908046722412
1550944374.2152247,2740,-1.6756821870803833
1550944380.3631992,2754,-2.707885503768921
1550944401.1238897,2789,-1.3205970525741577
1550944472.255363,2896,-1.8980927467346191
1550944514.7582529,2967,-1.7430164813995361
1550944548.266182,3011,-2.619507074356079
1550944569.728821,3038,-2.2709572315216064
1550944571.9066002,3041,-2.2202374935150146
1550944623.946007,3099,-2.3212122917175293
1550944669.2930121,3161,-1.4329034090042114
1550944705.9240227,3196,-2.8554441928863525
1550944723.9361925,3230,-2.5936176776885986
1550944730.1154275,3244,-1.4684315919876099
1550944730.308561,3246,-3.65268611907959
1550944731.3067613,3247,-1.6627050638198853
1550944772.783506,3305,-1.8833175897598267
1550944795.2197201,3345,-2.676877737045288
1550944818.682565,3376,-2.3039767742156982
1550944836.9668767,3408,-0.8447815179824829
1550944851.745524,3430,-1.7541366815567017
1550944866.2198827,3449,-1.8660123348236084
1550944877.6425867,3464,-3.416517496109009
1550944886.5596864,3480,-1.2845969200134277
1550944989.7126536,3600,-1.844221591949463
1550945000.8804853,3618,-1.8387686014175415
1550945002.2645912,3620,-3.141162395477295
1550945029.7681577,3656,-1.773139476776123
1550945038.2171547,3670,-1.0986332893371582
1550945090.30657,3726,-2.1448614597320557
1550945095.3191423,3730,-1.404270887374878
1550945105.539415,3741,-1.458513617515564
1550945152.829777,3793,-1.4014917612075806
1550945167.437379,3814,-2.1954233646392822
1550945170.9896204,3819,-1.7560935020446777
1550945171.3337488,3821,-3.055333137512207
1550945186.9020739,3831,-1.5347106456756592
1550945207.785892,3864,-1.3430033922195435
1550945248.2579248,3928,-0.9199667572975159
1550945270.4039545,3956,-1.9424924850463867
1550945288.1486123,3984,-2.3073909282684326
1550945314.656862,4022,-1.7829591035842896
1550945320.6194773,4033,-1.9526710510253906
1550945323.8368456,4036,-3.773294448852539
1550945376.06233,4093,-1.393172025680542
1550945379.4328504,4098,-0.9849317073822021
1550945385.0692053,4109,-0.9581267237663269
1550945442.9136233,4182,-1.6131651401519775
1550945451.5143895,4194,-0.05018496885895729
1550945454.4864306,4196,-0.758489727973938
1550945459.579619,4202,-2.0400772094726562
1550945480.3817856,4227,-1.2243328094482422
1550945482.7026422,4232,-1.2378774881362915
1550945485.6686816,4235,-0.7357837557792664
1550945507.901346,4263,-1.0477163791656494
1550945508.213436,4266,-1.687869668006897
1550945533.566135,4304,-3.098684549331665
1550945538.4489262,4317,-2.350916624069214
1550945538.9696114,4319,-1.481426477432251
1550945595.787053,4400,-1.526166319847107
1550945626.054793,4433,-0.6770849227905273
1550945675.010205,4492,-0.5668167471885681
1550945682.5336628,4509,-1.444940447807312
1550945697.607326,4530,-1.7432565689086914
1550945732.579581,4581,-3.728379487991333
1550945754.5531712,4628,-0.3177652955055237
1550945787.5975258,4664,-2.867323160171509
1550945789.6346781,4668,-1.551463007926941
1550945793.347472,4676,-2.399531602859497
1550945816.2346807,4713,-3.7849361896514893
1550945843.3637223,4750,-0.5627562403678894
1550945853.2763476,4758,-0.704522967338562
1550945873.7680943,4788,-2.1895904541015625
1550945877.83654,4800,-0.863356351852417
1550945878.0411115,4802,-1.600000023841858
1550945900.024099,4840,-0.23156006634235382
1550945907.0085478,4852,-1.220548391342163
1550945934.6420784,4894,-1.1101047992706299
1550945989.0519125,4962,-1.0929954051971436
1550945996.8101757,4971,-1.0740258693695068
1550945997.1215048,4974,-1.0964728593826294
1550946062.3126507,5050,-1.031601071357727
1550946063.1302023,5052,-1.1355724334716797
1550946107.3503559,5106,-0.9344074726104736
1550946131.6135902,5134,-1.3440971374511719
1550946183.5634868,5200,-4.141676902770996
1550946217.2484865,5239,-2.9297118186950684
1550946293.5312178,5329,-0.75975102186203
1550946309.9317024,5345,-2.4813952445983887
1550946323.8873591,5359,-2.15971302986145
1550946372.2055392,5420,-4.610437393188477
1550946384.0128322,5442,-1.9752697944641113
1550946428.4293103,5515,-3.7394986152648926
1550946428.792571,5517,-2.0923779010772705
1550946445.5614567,5549,-2.6571269035339355
1550946474.2383687,5587,-2.409390926361084
1550946524.274054,5660,-2.070676326751709
1550946527.5535662,5664,-7.186587810516357
1550946538.9788074,5679,-5.476826190948486
1550946570.3610787,5720,-3.0238988399505615
1550946573.83963,5723,-3.3103554248809814
1550946600.5870314,5776,-3.620166778564453
1550946631.5104105,5808,-2.0234766006469727
1550946641.1640449,5825,-2.3645899295806885
1550946648.882066,5828,-6.53721284866333
1550946667.2924562,5862,-1.2744147777557373
1550946669.178632,5864,-1.5746581554412842
1550946677.5386274,5871,-1.6086525917053223
1550946696.325607,5907,-0.32139864563941956
1550946707.1795828,5928,-0.8909842371940613
1550946726.268179,5952,-5.831582546234131
1550946727.3983352,5957,-1.8227155208587646
1550946732.0109348,5963,-0.5309371948242188
1550946745.4071393,5990,-2.2874650955200195
1550946760.2537599,6010,-0.637394368648529
1550946766.2777998,6015,-3.641148328781128
1550946812.6223934,6078,-1.7257537841796875
1550946841.3236015,6121,-0.6686906814575195
1550946852.024647,6131,-2.0880367755889893
1550946888.7862673,6181,-0.5522071123123169
1550946899.8021631,6200,-1.369675636291504
1550946907.632773,6213,-3.3784360885620117
1550946912.1949177,6219,-0.6586111783981323
1550946921.3230839,6232,-1.0044522285461426
1550946969.5043583,6289,-2.997178316116333
1550946981.2574756,6312,-0.8844109177589417
1550946985.9607291,6317,-1.4087480306625366
1550947003.109098,6341,-2.7225115299224854
1550947017.894448,6363,-3.606717824935913
1550947022.4873679,6376,-2.9800450801849365
1550947042.9933631,6400,-3.0663185119628906
1550947114.4527895,6496,-3.906081438064575
1550947117.8994195,6500,-2.644286870956421
1550947124.674393,6520,-2.3842787742614746
1550947153.5193973,6574,-0.13265453279018402
1550947161.3853061,6584,-2.075554609298706
1550947177.0305796,6603,-1.4570568799972534
1550947210.1203604,6657,-3.42018723487854
1550947214.5340018,6666,-0.53040611743927
1550947227.3654964,6681,-1.5666735172271729
1550947239.630419,6696,-0.00013540757936425507
1550947242.074854,6699,-1.2980018854141235
1550947251.3946598,6711,-0.5778951048851013
1550947268.2995663,6738,-3.1995463371276855
1550947271.878262,6742,-2.9166572093963623
1550947279.3295248,6753,-3.387864351272583
1550947348.1587238,6846,-1.5442639589309692
1550947352.511477,6854,-2.1191396713256836
1550947362.0826263,6869,-2.6571872234344482
1550947427.3304682,6934,-4.082662105560303
1550947448.235109,6966,-1.8028086423873901
1550947469.7427168,6992,-0.4642484486103058
1550947483.5403612,7014,-2.8615663051605225
1550947548.2890127,7106,-1.5871191024780273
1550947553.766301,7114,-0.800000011920929
1550947578.2274988,7155,-1.2393518686294556
1550947630.3510473,7216,-1.8997926712036133
1550947661.2323306,7247,-0.2110135555267334
1550947696.9315412,7300,-0.32527029514312744
1550947705.0680873,7311,-0.3619668781757355
1550947718.5951312,7329,-0.5777304172515869
1550947723.8614845,7339,-1.4070199728012085
1550947724.1175303,7340,-0.35418492555618286
1550947733.3768265,7359,-2.799999952316284
1550947747.2974603,7382,-0.3452609181404114
1550947763.0561504,7401,-0.9062394499778748
1550947790.2258105,7440,-0.30884233117103577
1550947793.150325,7443,-1.1534879207611084
1550947794.039498,7450,-2.7235708236694336
1550947802.8072832,7460,-0.5703978538513184
1550947804.4905741,7463,-2.0
1550947816.4865928,7478,-0.8663364052772522
1550947842.0257785,7511,-0.9599297046661377
1550947851.070094,7530,-1.837695837020874
1550947903.0262783,7609,-1.8121259212493896
1550947937.2716913,7644,-0.5953356027603149
1550947949.2519746,7661,-3.5959863662719727
1550947959.4120672,7676,-1.8237813711166382
1550947965.7637055,7687,-4.697009563446045
1550947969.9447393,7693,-0.23629729449748993
1550948011.253876,7746,-1.3612096309661865
1550948022.2000027,7760,-1.2176592350006104
1550948035.9810476,7780,-1.5426679849624634
1550948046.0474226,7788,-2.585994243621826
1550948047.7192683,7798,-1.8444113731384277
1550948076.024651,7833,-1.1094639301300049
1550948124.1296768,7900,0.0
1550948156.1959248,7932,-2.629284381866455
1550948198.8529541,7991,-3.1724436283111572
1550948225.3315961,8026,-2.027430534362793
1550948230.8591511,8037,0.0
1550948241.6227193,8049,-1.5058259963989258
1550948257.6025212,8066,0.0
1550948347.2365115,8180,-0.5436075925827026
1550948352.3804197,8184,-1.57098388671875
1550948381.4935825,8215,-1.513598918914795
1550948384.6284316,8221,-3.2223761081695557
1550948423.5874195,8279,-2.432002544403076
1550948427.9678254,8290,-0.8245437145233154
1550948459.9561625,8327,-1.006560206413269
1550948464.4040785,8332,-2.1186723709106445
1550948464.5959835,8334,0.0
1550948469.821388,8340,-0.05222732573747635
1550948489.0246758,8363,-0.6395750045776367
1550948490.1653128,8368,-0.5019727945327759
1550948497.1583583,8377,-0.7748721837997437
1550948574.5057392,8467,-1.0842920541763306
1550948574.7943792,8470,-1.0459461212158203
1550948592.6599634,8498,-1.5466580390930176
1550948604.1008267,8508,-1.2950632572174072
1550948650.0326324,8566,-3.3050014972686768
1550948670.7923105,8592,-0.6187839508056641
1550948675.8948088,8601,-2.1149840354919434
1550948700.591062,8634,-1.019569754600525
1550948704.1729133,8635,-0.2697475850582123
1550948714.638395,8644,-0.9405614137649536
1550948745.8914068,8690,-1.6937248706817627
1550948758.9014492,8695,-1.1810961961746216
1550948844.5989752,8801,-1.5958179235458374
1550948863.5018826,8819,-1.5867077112197876
1550948869.4797518,8822,-2.294576406478882
1550948881.7317622,8843,-0.3749505877494812
1550948886.4315221,8878,-1.307560682296753
1550948887.472643,8885,-0.949833333492279
1550948889.7363563,8902,-1.9767630100250244
1550948890.0961227,8904,-0.26071828603744507
1550948890.5377402,8907,-1.90142822265625
1550948893.2648225,8928,-1.2949156761169434
1550948894.264595,8935,-1.5397990942001343
1550948897.292465,8958,-1.2071003913879395
1550948899.6979258,8975,-1.9136574268341064
1550948902.0480955,8993,-1.7176427841186523
1550948902.904388,8999,-2.042999744415283
1550948904.3153112,9009,-1.7830713987350464
1550948910.8321023,9055,-1.4464329481124878
1550948911.9616997,9063,-1.5916370153427124
1550948914.8290277,9084,-1.5564043521881104
1550948924.229899,9155,-0.8864765167236328
1550948933.4749048,9226,-0.9163832068443298
1550948934.4311538,9233,-2.086238384246826
1550948938.0184543,9260,-0.3780245780944824
1550948944.4177842,9307,-0.6820304989814758
1550948945.6577108,9316,-1.8680261373519897
1550948950.150305,9348,-0.9754638671875
1550948953.0511322,9369,-1.5638585090637207
1550948959.1651943,9412,-1.7421603202819824
1550948959.583377,9415,-1.0908029079437256
1550948962.3301332,9435,-0.25092145800590515
1550948963.1535406,9442,-3.6952600479125977
1550948966.838237,9468,-3.173696517944336
1550948976.4048035,9538,-0.16670559346675873
1550948977.7130623,9547,-2.3843424320220947
1550948978.5018468,9554,-1.5106112957000732
1550948980.3446734,9567,-1.6268912553787231
1550948983.225316,9589,-2.7524187564849854
1550948988.502117,9627,-2.7833251953125
1550948991.7561696,9651,-1.2181870937347412
1550948992.5018952,9657,-0.8756445646286011
1550948995.6893327,9680,-0.6826027631759644
1550948998.045638,9698,-0.9646986126899719
1550949007.6645691,9768,-1.1804766654968262
1550949013.7896876,9812,-5.894479751586914
1550949017.9957345,9840,-1.041995882987976
1550949018.4532585,9843,-0.03181267902255058
1550949024.0202003,9883,-3.26383900642395
1550949027.3151157,9907,-0.16041645407676697
1550949036.106675,9972,-2.7466092109680176
1550949046.7956991,10050,-1.8777145147323608
