Wall time,Step,Value
1550942267.4208772,18,0.0
1550942269.8187714,42,0.0
1550942272.3382332,45,0.0
1550942282.4683068,71,0.0
1550942290.486383,94,0.0
1550942313.3692822,158,0.0
1550942316.887536,167,0.0
1550942336.7664266,229,0.4000000059604645
1550942338.545168,234,0.0
1550942346.8364966,255,0.0
1550942351.5548592,273,1.2000000476837158
1550942362.8905187,308,0.0
1550942363.0888379,310,0.0
1550942365.7427511,318,0.0
1550942401.436482,421,0.0
1550942438.3450663,460,0.0
1550942446.1658218,474,0.0
1550942494.0453305,536,0.0
1550942510.8664346,563,0.0
1550942558.469557,579,0.4000000059604645
1550942576.7278104,586,0.0
1550942590.3694417,587,0.0
1550942708.906989,634,0.0
1550942715.7385833,647,0.0
1550942775.609602,661,0.0
1550942812.5520377,671,0.0
1550942882.0540416,714,0.0
1550942885.2866232,722,0.0
1550942910.7177932,765,0.0
1550942919.4924471,771,0.0
1550942931.901304,785,0.0
1550942933.702857,787,0.0
1550942946.6129706,802,0.800000011920929
1550942948.8298202,808,0.0
1550942968.3287852,836,0.0
1550943049.0017285,945,0.0
1550943081.2117102,971,0.0
1550943081.5005443,972,0.0
1550943086.0570977,978,0.0
1550943112.95863,1005,0.0
1550943125.6595879,1014,0.0
1550943182.3930368,1063,0.0
1550943185.0202293,1066,0.0
1550943220.6226287,1093,2.4000000953674316
1550943236.4270022,1104,0.0
1550943276.3649595,1161,0.0
1550943285.8599873,1180,0.0
1550943349.301362,1261,0.0
1550943392.7537766,1316,0.0
1550943395.1908545,1319,0.0
1550943404.4923396,1333,0.0
1550943406.953612,1337,0.0
1550943437.7035866,1385,0.0
1550943443.6912637,1392,0.4000000059604645
1550943461.1763475,1414,0.0
1550943471.2991292,1426,0.0
1550943482.1325574,1436,0.0
1550943509.378775,1466,0.0
1550943520.149124,1477,0.0
1550943534.5144799,1491,0.0
1550943559.356513,1523,0.0
1550943574.127084,1552,0.0
1550943582.867602,1568,0.0
1550943591.2739284,1584,0.0
1550943592.999776,1588,0.0
1550943602.3090627,1605,0.0
1550943631.937019,1640,0.0
1550943665.7816799,1691,0.0
1550943678.3127866,1709,0.0
1550943683.0599432,1718,0.0
1550943690.1996696,1732,0.0
1550943690.403691,1734,0.0
1550943691.5070162,1737,0.0
1550943724.1365397,1781,0.0
1550943750.424544,1826,0.0
1550943758.7079415,1844,0.0
1550943763.2972486,1853,0.0
1550943772.3387103,1866,0.4000000059604645
1550943775.2639134,1869,0.0
1550943779.621872,1877,0.0
1550943801.5605593,1917,0.0
1550943809.9320679,1934,0.0
1550943816.9964228,1944,0.0
1550943818.7078876,1947,0.4000000059604645
1550943853.8063903,2001,0.0
1550943878.2128847,2036,0.0
1550943901.6752076,2077,0.0
1550943907.0612483,2085,0.0
1550943910.0965784,2089,0.0
1550943919.2813814,2096,0.0
1550943978.8400648,2187,1.2000000476837158
1550943989.5462818,2199,0.0
1550944003.1023164,2211,0.0
1550944013.4855986,2231,0.0
1550944016.6965678,2236,0.0
1550944016.7939749,2237,0.4000000059604645
1550944031.3440742,2257,0.0
1550944038.219298,2262,2.799999952316284
1550944072.1386778,2307,0.0
1550944080.6844976,2319,0.0
1550944103.4142725,2354,0.0
1550944125.5024,2389,0.4000000059604645
1550944125.5985742,2390,0.0
1550944127.5976267,2392,0.0
1550944155.9356923,2436,0.0
1550944170.2152317,2453,0.0
1550944173.0011373,2455,0.0
1550944175.1608715,2460,0.0
1550944191.8405235,2485,0.0
1550944191.936501,2486,0.0
1550944196.5755463,2496,0.0
1550944196.8064404,2498,0.0
1550944201.2377822,2503,1.600000023841858
1550944209.2497451,2517,0.0
1550944221.3167322,2532,0.0
1550944235.6902604,2547,0.0
1550944240.3417416,2553,0.0
1550944327.5761461,2685,1.2000000476837158
1550944374.2149944,2740,0.4000000059604645
1550944380.3629842,2754,1.2000000476837158
1550944401.1236725,2789,0.4000000059604645
1550944472.2551916,2896,0.0
1550944514.7580342,2967,0.0
1550944548.2659695,3011,0.800000011920929
1550944569.7286203,3038,0.0
1550944571.906389,3041,0.0
1550944623.9458025,3099,0.0
1550944669.292804,3161,0.0
1550944705.9237835,3196,0.0
1550944723.9359922,3230,0.0
1550944730.1152108,3244,0.0
1550944730.3083503,3246,0.4000000059604645
1550944731.3065407,3247,0.0
1550944772.7832894,3305,0.0
1550944795.2195132,3345,0.4000000059604645
1550944818.6823542,3376,0.0
1550944836.9666715,3408,0.0
1550944851.745306,3430,0.0
1550944866.2196672,3449,0.0
1550944877.6423542,3464,0.0
1550944886.5594704,3480,0.0
1550944989.7124503,3600,0.0
1550945000.8802664,3618,0.0
1550945002.2643812,3620,0.4000000059604645
1550945029.7679543,3656,0.0
1550945038.2169464,3670,0.0
1550945090.3063474,3726,0.0
1550945095.318917,3730,0.0
1550945105.5391815,3741,0.0
1550945152.8295624,3793,0.0
1550945167.4371438,3814,0.0
1550945170.989409,3819,0.0
1550945171.3335176,3821,0.4000000059604645
1550945186.9016752,3831,0.0
1550945207.785668,3864,0.0
1550945248.2577229,3928,0.0
1550945270.4037306,3956,0.0
1550945288.1483765,3984,0.4000000059604645
1550945314.6566427,4022,0.4000000059604645
1550945320.6192608,4033,0.800000011920929
1550945323.8366446,4036,1.600000023841858
1550945376.0621133,4093,0.0
1550945379.4326408,4098,0.0
1550945385.0689862,4109,0.0
1550945442.91341,4182,0.4000000059604645
1550945451.5141423,4194,0.0
1550945454.4862063,4196,0.0
1550945459.579419,4202,0.4000000059604645
1550945480.3815653,4227,0.0
1550945482.7024329,4232,0.0
1550945485.6684783,4235,0.0
1550945507.9011004,4263,0.0
1550945508.2131941,4266,0.4000000059604645
1550945533.565915,4304,1.600000023841858
1550945538.4487088,4317,0.800000011920929
1550945538.969386,4319,0.0
1550945595.786852,4400,0.4000000059604645
1550945626.054574,4433,0.0
1550945675.009998,4492,0.0
1550945682.5334606,4509,0.0
1550945697.6070948,4530,0.0
1550945732.5793648,4581,0.800000011920929
1550945754.5529504,4628,0.0
1550945787.5973089,4664,2.799999952316284
1550945789.6344697,4668,1.2000000476837158
1550945793.3472528,4676,0.0
1550945816.2345188,4713,0.800000011920929
1550945843.3635223,4750,0.4000000059604645
1550945853.2761254,4758,0.0
1550945873.7678664,4788,0.0
1550945877.8363264,4800,0.4000000059604645
1550945878.0408769,4802,1.600000023841858
1550945900.0238907,4840,0.0
1550945907.0083451,4852,0.800000011920929
1550945934.6418447,4894,0.4000000059604645
1550945989.0516925,4962,0.0
1550945996.8099525,4971,0.0
1550945997.1212912,4974,0.0
1550946062.3124347,5050,0.0
1550946063.13,5052,0.0
1550946107.3501277,5106,0.0
1550946131.6133673,5134,0.0
1550946183.5632732,5200,2.4000000953674316
1550946217.2482271,5239,1.600000023841858
1550946293.5310092,5329,0.0
1550946309.9314773,5345,0.800000011920929
1550946323.8871176,5359,0.0
1550946372.2053735,5420,2.799999952316284
1550946384.0126312,5442,0.800000011920929
1550946428.42909,5515,2.4000000953674316
1550946428.7923436,5517,0.0
1550946445.5612364,5549,0.0
1550946474.238132,5587,0.0
1550946524.2738366,5660,0.0
1550946527.5533202,5664,5.599999904632568
1550946538.9785874,5679,2.0
1550946570.360864,5720,0.0
