ep 100: mean -2.105667262333969, std 0.13024573753765395
ep 200: mean -0.35857133678063063, std 0.20855717159397275
ep 300: mean -0.6563919844481291, std 0.11779998609047475
ep 400: mean -0.6595564812995416, std 0.19041744117177678
ep 500: mean -0.9551595855881831, std 0.23107167226555142
ep 600: mean -0.1346918483069683, std 0.1944561674120728
ep 700: mean -0.435944415398729, std 0.041862758152531314
ep 800: mean -0.43978604921881165, std 0.3620027851693096
ep 900: mean -0.14642955721641482, std 0.10043166368110487
ep 1000: mean -0.14193594274874333, std 0.05308451746606671
ep 1100: mean -0.49795973366100177, std 0.3766748313073211
ep 1200: mean -1.4490772320071874, std 0.3436448589684649
ep 1300: mean -0.7903347770506461, std 0.5599831401229534
ep 1400: mean -0.6465711079056987, std 0.1661912176095315
ep 1500: mean -0.27058935039022647, std 0.08934143241894611
ep 1600: mean -0.14175309018565949, std 0.03561047912826465
ep 1700: mean -2.134959973491801, std 1.1142644652891955
ep 1800: mean -0.31785671049021036, std 0.12189667895021354
ep 1900: mean -1.467143170621033, std 0.1847861201727209
ep 2000: mean -0.1258258041502276, std 0.11532637771929934
ep 2100: mean -0.30638492914088167, std 0.4075068441324383
ep 2200: mean -0.6525694186236385, std 0.6808058059885261
ep 2300: mean -0.4606567521711466, std 0.18970616227254594
ep 2400: mean -0.6720176077411295, std 0.575675509174329
ep 2500: mean -0.37345062929359807, std 0.4202590217013966
ep 2600: mean -0.38912298300058934, std 0.39170787177356253
ep 2700: mean -0.6860443036075199, std 0.06646903335837308
ep 2800: mean -0.3936581042479366, std 0.1774599720384738
ep 2900: mean -0.26063336880013177, std 0.1566512323611859
ep 3000: mean -0.15136818778161235, std 0.04242334371956244
ep 3100: mean -0.9397873392997408, std 0.7254238836938796
ep 3200: mean -0.03803668050366763, std 0.06960773646676234
ep 3300: mean -0.0332363827284525, std 0.036279162102098264
ep 3400: mean -0.127934356274267, std 0.20171043176068026
ep 3500: mean -0.9488777164694718, std 0.7093196569751294
ep 3600: mean -0.6219734093768946, std 0.5194638073279357
ep 3700: mean -0.09281008916467187, std 0.14563314479584855
ep 3800: mean -0.09152354051477944, std 0.10035905292747002
ep 3900: mean -0.660212807699192, std 0.5327969976928543
ep 4000: mean -0.08584866040244854, std 0.03780455091650425
ep 4100: mean -0.08337478962626435, std 0.044388049720561595
ep 4200: mean -1.7123508788785786, std 1.03961829601356
ep 4300: mean -0.5733769041751018, std 0.5031237273098701
ep 4400: mean -1.0122324877963529, std 0.754114977484426
ep 4500: mean -0.3680740722879854, std 0.39544842185341106
ep 4600: mean -0.41573957122212035, std 0.44331554134489465
ep 4700: mean -0.4276654326872961, std 0.4298493560874751
ep 4800: mean -0.023809109060274496, std 0.027080214133752844
ep 4900: mean -0.2495829377360867, std 0.36216118508956546
ep 5000: mean -0.5640614765699264, std 0.4433827524522095
ep 5100: mean -0.03724744463126093, std 0.04707956264485207
ep 5200: mean -0.09251062203004924, std 0.08519659916301042
ep 5300: mean -0.34327972044556904, std 0.37973571609898404
ep 5400: mean -0.7440265625829758, std 0.742559319864654
ep 5500: mean -0.4067158368730985, std 0.5044290866515936
ep 5600: mean -0.1761725066717114, std 0.2113810626111418
ep 5700: mean -1.449310211360706, std 0.9498842177762944
ep 5800: mean -0.3366881480750935, std 0.43222884127347094
ep 5900: mean -0.6338390872999513, std 0.7080808851595394
ep 6000: mean -0.6003725849912815, std 0.5715631632404607
ep 6100: mean -0.23183539279082532, std 0.29821205533396516
ep 6200: mean -1.2820097271159367, std 0.8674481202989869
ep 6300: mean -0.6873457836050606, std 0.6042114499931307
ep 6400: mean -0.19162329515641546, std 0.27513482001954687
ep 6500: mean -0.7370769618637292, std 0.7788323442934084
ep 6600: mean -0.4472398948335702, std 0.4507423334754941
ep 6700: mean -0.11784049863700226, std 0.14033442495495638
ep 6800: mean -0.3243298373791063, std 0.39426854235358516
ep 6900: mean -0.05213568372790915, std 0.05072171055819768
ep 7000: mean -0.09410415837985464, std 0.053810361070705894
ep 7100: mean -0.4477744323845545, std 0.3617897825190761
ep 7200: mean -0.2586758553593912, std 0.2636789568276569
ep 7300: mean -0.4582189939352398, std 0.511993215119276
ep 7400: mean -0.06511815307187824, std 0.04101477230641435
ep 7500: mean -0.3104395442243135, std 0.3507881205772833
ep 7600: mean -1.258634109413209, std 0.9087604544833141
ep 7700: mean -1.0050230584106152, std 0.7554911020337707
ep 7800: mean -0.22579085699391035, std 0.2711444325274386
ep 7900: mean -0.42526940013568365, std 0.29161571978930345
ep 8000: mean -0.3156857040744257, std 0.3491970050440103
ep 8100: mean -0.129262045727158, std 0.04752259058963187
ep 8200: mean -0.016935516680784912, std 0.01036097136062166
ep 8300: mean -1.2086682790376002, std 0.9922099399135996
ep 8400: mean -0.19259221253690967, std 0.21003756145351185
ep 8500: mean -0.09733848016579426, std 0.07548000371668873
ep 8600: mean -1.0148069168131084, std 0.9570029299967306
ep 8700: mean -0.0872476544860741, std 0.09133227039863738
ep 8800: mean -0.09277161754542781, std 0.048236109107772894
ep 8900: mean -0.11307360043576345, std 0.1666707701569347
ep 9000: mean -0.67111590578678, std 0.582430631103313
ep 9100: mean -0.20317829332723697, std 0.2633619992976751
ep 9200: mean -0.21746887203039805, std 0.07167662732297612
ep 9300: mean -0.9565751459963632, std 0.7228119674696291
ep 9400: mean -0.4875928138115668, std 0.5442748736915876
ep 9500: mean -0.2628012385768234, std 0.36938465137573695
ep 9600: mean -0.11185309737456678, std 0.14301226304867926
ep 9700: mean -0.37009675056252733, std 0.45788780755693587
ep 9800: mean -1.3164331129496645, std 0.883608925408471
ep 9900: mean -0.20057870812709822, std 0.2947889035649029
ep 10000: mean -0.069301262479474, std 0.08167776490323034
ep 10100: mean -0.054102483220733306, std 0.06980351535511492
ep 10200: mean -0.2234376200918221, std 0.30959702496641256
ep 10300: mean -0.9907198691681378, std 0.7500871717876993
ep 10400: mean -0.008394989364005496, std 0.012435335325503828
ep 10500: mean -0.024895535384243196, std 0.011126739993352841
ep 10600: mean -0.0726916452028512, std 0.04223190297446848
ep 10700: mean -1.619792979057127, std 1.0062765799016222
ep 10800: mean -0.6926770262794397, std 0.6397642227848731
ep 10900: mean -0.019756951117672353, std 0.018427167954310816
ep 11000: mean -0.11777357344300636, std 0.10600264617417833
ep 11100: mean -0.4174092115255475, std 0.4102776742979458
ep 11200: mean -1.0033674618783983, std 0.7732618048932857
ep 11300: mean -0.36421257578395294, std 0.4717111533849198
ep 11400: mean -0.18144882217356872, std 0.18916360649155095
ep 11500: mean -0.24920717810344784, std 0.2514702664210968
ep 11600: mean -1.179814931689413, std 0.8842078834361148
ep 11700: mean -1.1957681264732036, std 0.8344677222448537
ep 11800: mean -0.14462658197303066, std 0.19766793709356106
ep 11900: mean -0.0859771522021017, std 0.030125405538173288
ep 12000: mean -0.4201255593369872, std 0.16261688565892488
ep 12100: mean -0.4792105881936206, std 0.5314272097784848
ep 12200: mean -0.30401166203262703, std 0.40085291018062
ep 12300: mean -0.3691255118990781, std 0.4120793876343486
ep 12400: mean -0.04990263533702452, std 0.060375301111422294
ep 12500: mean -0.1020612088244879, std 0.16909318446653537
ep 12600: mean -0.40508461462596856, std 0.45937043615141726
ep 12700: mean -0.8146448533530378, std 0.8298143693137318
ep 12800: mean -0.07628210499637104, std 0.10408667432507643
ep 12900: mean -0.8343963388769415, std 0.8700842208156214
ep 13000: mean -0.25482171984640317, std 0.14036112646778254
ep 13100: mean -1.3148147316025611, std 0.8657338811806775
ep 13200: mean -0.43695568387820427, std 0.51230999013277
ep 13300: mean -1.1581469640671425, std 1.0400794937680287
ep 13400: mean -0.9494713849075318, std 0.7293578338650956
ep 13500: mean -0.09589039549142729, std 0.04878389986842002
ep 13600: mean -0.3913371727825408, std 0.4134880969494987
ep 13700: mean -1.224111061481412, std 1.0295416287112238
ep 13800: mean -0.023202170354857124, std 0.010330536591563032
ep 13900: mean -0.10833467203037962, std 0.14319557001998345
ep 14000: mean -0.07074099951283878, std 0.1112005168463004
ep 14100: mean -0.32717380719524214, std 0.3757003672924229
ep 14200: mean -0.15914965587665977, std 0.15873913178137636
ep 14300: mean -0.0433884003948372, std 0.024006759811146586
ep 14400: mean -0.012498529667900998, std 0.012648272765688558
ep 14500: mean -0.2475801270234259, std 0.3121729881424535
ep 14600: mean -0.0988806764312281, std 0.07983581887093555
ep 14700: mean -0.6216465916911686, std 0.6835611157049833
ep 14800: mean -0.49290328239496867, std 0.47051734154567654
ep 14900: mean -0.4618343178161181, std 0.4682481711932659
ep 15000: mean -0.08091111531857396, std 0.033813903242671646
ep 15100: mean -0.19394578962768563, std 0.12118778081191989
ep 15200: mean -0.03251184113941664, std 0.02902063404178223
ep 15300: mean -0.05510241500460889, std 0.06520227235920587
ep 15400: mean -0.10218433355507972, std 0.1405216083475735
ep 15500: mean -0.35463293165457543, std 0.35175864193676787
ep 15600: mean -0.1004651684237421, std 0.14795515920588084
ep 15700: mean -0.17688114034936414, std 0.24895673542542823
ep 15800: mean -0.053132325388375846, std 0.09707588442419428
ep 15900: mean -1.5235053029351593, std 0.9710954745464612
ep 16000: mean -0.16151519774760292, std 0.22490636503355294
ep 16100: mean -0.20482102539150127, std 0.1812647329936611
ep 16200: mean -0.212247747705816, std 0.2796219092726005
ep 16300: mean -0.411816979894807, std 0.4633511818240561
ep 16400: mean -0.21918945546066623, std 0.2688878002607432
ep 16500: mean -0.3156503868510245, std 0.33752091114864224
ep 16600: mean -0.17446809909502745, std 0.23485816508726293
ep 16700: mean -0.35933998737108314, std 0.4651229895116708
ep 16800: mean -0.03773536095404337, std 0.006720414566963975
ep 16900: mean -0.15201828087184482, std 0.18686841523850375
ep 17000: mean -0.15931415369898347, std 0.2555236412023697
ep 17100: mean -0.05988885665110881, std 0.07290567924560531
ep 17200: mean -0.23470820691950767, std 0.3120179911102591
ep 17300: mean -0.24305241298364522, std 0.291649745222181
ep 17400: mean -1.7455278348283059, std 1.0439831097205856
ep 17500: mean -0.24731090878229778, std 0.2708962858885943
ep 17600: mean -0.06180074209606284, std 0.08688286098541835
ep 17700: mean -0.2247488972021754, std 0.2752308965496069
ep 17800: mean -0.07640187825846004, std 0.04546890695478433
ep 17900: mean -0.29803516084680803, std 0.3200262403623583
ep 18000: mean -0.010768782961540267, std 0.019609422133937755
ep 18100: mean -0.2422004765786783, std 0.28009784748861283
ep 18200: mean -0.03509236320727196, std 0.024270752301411305
ep 18300: mean -2.2704334460421256, std 1.197930457092006
ep 18400: mean -0.015846656375363713, std 0.01579965966959722
ep 18500: mean -1.0744994996406922, std 0.7749939891438017
ep 18600: mean -0.7173840709357785, std 0.6937634732234377
ep 18700: mean -0.16939077711871275, std 0.15273333750335796
ep 18800: mean -0.21975717710871415, std 0.27710403697962016
ep 18900: mean -0.1174329808713242, std 0.12379443149788598
ep 19000: mean -0.9083903132400833, std 0.8140101004943039
ep 19100: mean -0.02579756925233472, std 0.01092843416771918
ep 19200: mean -0.11821011407875982, std 0.14995705892018105
ep 19300: mean -0.43895945547939336, std 0.47122172026211856
ep 19400: mean -0.14768844177610088, std 0.17380889078009787
ep 19500: mean -0.08943323322758254, std 0.08565111049851136
ep 19600: mean -0.7498237248400305, std 0.7072681890299308
