ep 100: mean -3.1293478280586298, std 0.3998694702240863
ep 200: mean -0.36884620761075454, std 0.20386797706508267
ep 300: mean -1.16030182094713, std 0.27841398361806896
ep 400: mean -0.5729689299895004, std 0.1192695645080903
ep 500: mean -1.4029195048614014, std 0.5638713846159835
ep 600: mean -0.1599284302465025, std 0.1819749188111888
ep 700: mean -0.4618881791200167, std 0.055565224218388776
ep 800: mean -0.3933486413868296, std 0.3983307898632758
ep 900: mean -0.10259635855192659, std 0.11335734961662759
ep 1000: mean -0.1737663161795227, std 0.11112896760441696
ep 1100: mean -0.47536106241656517, std 0.39020824420758266
ep 1200: mean -0.8652661253383801, std 0.5768344769577488
ep 1300: mean -0.7722052864461078, std 0.5433871218692514
ep 1400: mean -0.6885523672542486, std 0.16098935991829377
ep 1500: mean -0.1008150247382369, std 0.11481415525123348
ep 1600: mean -0.08668060555780559, std 0.029354655253230694
ep 1700: mean -2.083363317413461, std 1.1414749210533313
ep 1800: mean -0.22205429733865764, std 0.15369583652318383
ep 1900: mean -0.9841937608812728, std 0.4988875583274587
ep 2000: mean -0.10884249220906429, std 0.11247795193036375
ep 2100: mean -0.3228783138137088, std 0.3961584760247261
ep 2200: mean -0.6525694186236385, std 0.6808058059885261
ep 2300: mean -0.3086978064957537, std 0.26533718518514776
ep 2400: mean -0.6534071941332065, std 0.5872253610069915
ep 2500: mean -0.36750867336637927, std 0.4136866203130141
ep 2600: mean -0.3146210738253027, std 0.40114720495213807
ep 2700: mean -0.2870897165317164, std 0.2507970843735334
ep 2800: mean -0.20512984012417854, std 0.0648064405129492
ep 2900: mean -0.20683616246723296, std 0.17699567786800338
ep 3000: mean -0.12453967008805947, std 0.06722490360980442
ep 3100: mean -0.9963721549131571, std 0.6754990637458841
ep 3200: mean -0.03646161076426877, std 0.07019424905871649
ep 3300: mean -0.023897495627402784, std 0.03914567158197282
ep 3400: mean -0.1353194337481965, std 0.1976278019119299
ep 3500: mean -0.9466405163815882, std 0.7129674952884948
ep 3600: mean -0.5925456684764763, std 0.5444798096415867
ep 3700: mean -0.1642746408755636, std 0.1208080478106292
ep 3800: mean -0.08787750601779162, std 0.10504955279818334
ep 3900: mean -0.7801637287321183, std 0.4641099855859383
ep 4000: mean -0.016748566491014714, std 0.004254067823208207
ep 4100: mean -0.1655299233108807, std 0.039934128767117494
ep 4200: mean -1.8608369768010626, std 0.8173742440371494
ep 4300: mean -0.5629575108136811, std 0.5313096135657275
ep 4400: mean -1.0230421622838963, std 0.75985176309486
ep 4500: mean -0.3350738128383358, std 0.3846378325788729
ep 4600: mean -0.4609345624227029, std 0.4093853007567106
ep 4700: mean -0.43506512019248866, std 0.4333003453734079
ep 4800: mean -0.08474092267994304, std 0.01386727377649682
ep 4900: mean -0.25106602797882105, std 0.3615851261094442
ep 5000: mean -0.6685819670757341, std 0.36319699941439343
ep 5100: mean -0.04959193906579365, std 0.07608239491244893
ep 5200: mean -0.5857960963395737, std 0.07922601332171396
ep 5300: mean -0.3431805975933433, std 0.3758339276729267
ep 5400: mean -0.75817080218633, std 0.7036977092058794
ep 5500: mean -0.399808396324823, std 0.5095823537879851
ep 5600: mean -0.3267260589508541, std 0.29113288359112643
ep 5700: mean -1.4447607771970095, std 0.9530618748144558
ep 5800: mean -0.4634862014765131, std 0.49478341452396685
ep 5900: mean -0.6460687686090022, std 0.6974789606661193
ep 6000: mean -0.6584384095664493, std 0.4954995122005575
ep 6100: mean -0.2317571650428417, std 0.29832100288947805
ep 6200: mean -1.2989777758679744, std 0.8702647776008394
ep 6300: mean -0.7024237402791355, std 0.5914959517044166
ep 6400: mean -0.19087327149284025, std 0.2755841992269601
ep 6500: mean -0.7562800524656497, std 0.7621166907885718
ep 6600: mean -0.4535387549216934, std 0.44593816077371284
ep 6700: mean -0.11174161469992755, std 0.15192492878303332
ep 6800: mean -0.30984601328355355, std 0.40455247232916647
ep 6900: mean -0.05679378114919843, std 0.054348925387487
ep 7000: mean -0.052764633302838086, std 0.0691917494934919
ep 7100: mean -0.37751854469672, std 0.4033829262663038
ep 7200: mean -0.3152884632056399, std 0.24418515904548457
ep 7300: mean -0.34877550023602966, std 0.45474934616718404
ep 7400: mean -0.1727360086763109, std 0.08467456292433695
ep 7500: mean -0.2833672882481012, std 0.3114471701792155
ep 7600: mean -1.2458565295425148, std 0.920131092989833
ep 7700: mean -1.0794807568024742, std 0.7825629292844298
ep 7800: mean -0.22296046582880139, std 0.27333645234770115
ep 7900: mean -0.4313710863407127, std 0.29509217085142897
ep 8000: mean -0.31941336634884154, std 0.34833858439682586
ep 8100: mean -0.008799002750463747, std 0.011567378464720893
ep 8200: mean -0.08909583968330509, std 0.05279708404239754
ep 8300: mean -1.2150038674912416, std 0.9864715277621021
ep 8400: mean -0.17240674112202178, std 0.22033742880052837
ep 8500: mean -0.07680859646844498, std 0.08379256692953835
ep 8600: mean -1.0035625604438967, std 0.9677087419775527
ep 8700: mean -0.08458707547021828, std 0.09410378948758771
ep 8800: mean -0.029581094429960663, std 0.022243686882771545
ep 8900: mean -0.22004356796180224, std 0.16526653778888864
ep 9000: mean -0.642515130077982, std 0.5820928841194684
ep 9100: mean -0.24592659718796267, std 0.24563128732513603
ep 9200: mean -0.25536064182781626, std 0.15289804734392234
ep 9300: mean -0.9438258885906987, std 0.7468946455228607
ep 9400: mean -0.48175821631688825, std 0.5459741790640328
ep 9500: mean -0.26431645879345783, std 0.36838251668586963
ep 9600: mean -0.0998563980418431, std 0.14966912390908227
ep 9700: mean -0.38045615926266846, std 0.4527783135843487
ep 9800: mean -1.318867162564484, std 0.8874804050425742
ep 9900: mean -0.20541515305899946, std 0.22968151034223333
ep 10000: mean -0.0501297703436691, std 0.08464246579481467
ep 10100: mean -0.06570720213104174, std 0.10281858201681503
ep 10200: mean -0.24397747965925554, std 0.2973992792843447
ep 10300: mean -0.9735536579577198, std 0.774350760618455
ep 10400: mean -0.008394989364005496, std 0.012435335325503828
ep 10500: mean -0.08869855390882979, std 0.034533860306720725
ep 10600: mean -0.07236747596963915, std 0.049835744869100834
ep 10700: mean -1.684135631925622, std 0.985238282841556
ep 10800: mean -0.6963260250040709, std 0.6356902849763302
ep 10900: mean -0.015559070573604289, std 0.008889599746425616
ep 11000: mean -0.07905936741241008, std 0.1262036427501222
ep 11100: mean -0.6361243226253245, std 0.2428816977876937
ep 11200: mean -1.003579957058073, std 0.769849886019198
ep 11300: mean -0.36329860804598224, std 0.47242158407753176
