ep 100: mean -2.386827491886936, std 0.11645941698336416
ep 200: mean -0.41503368763336773, std 0.19430735533553226
ep 300: mean -1.0412332268447604, std 0.18575548819972165
ep 400: mean -0.6290492489083098, std 0.15765584316917428
ep 500: mean -0.8139216238314475, std 0.16031315033544521
ep 600: mean -0.1626320524186527, std 0.17973265945236427
ep 700: mean -0.533513571983178, std 0.10306712812121438
ep 800: mean -0.45428669286253154, std 0.3595251386392946
ep 900: mean -0.12352520201679403, std 0.11236002931632824
ep 1000: mean -0.3468382935479277, std 0.22406899324855706
ep 1100: mean -0.4336498042650481, std 0.42447223827880876
ep 1200: mean -1.1555644740579423, std 0.45585899052279594
ep 1300: mean -0.7825401946242055, std 0.5294154585927495
ep 1400: mean -0.7887912154118538, std 0.09124824582700915
ep 1500: mean -0.19773321675991617, std 0.11059193421866145
ep 1600: mean -0.10451091051848117, std 0.02893820326951799
ep 1700: mean -2.079527610906724, std 1.1380500716298763
ep 1800: mean -0.29312097914727986, std 0.1246049814870163
ep 1900: mean -1.1928805697278901, std 0.3238785242404782
ep 2000: mean -0.10624741216842057, std 0.12013426022463804
ep 2100: mean -0.3231168431902839, std 0.3959957260061265
ep 2200: mean -0.6525694186236385, std 0.6808058059885261
ep 2300: mean -0.443837467174735, std 0.19539026709901752
ep 2400: mean -0.6544682867615645, std 0.5879347530572161
ep 2500: mean -0.3589797080951241, std 0.4204030043501844
ep 2600: mean -0.3265892884701227, std 0.39286434288959915
ep 2700: mean -0.48211581080717864, std 0.16151941889825078
ep 2800: mean -0.12180300440552759, std 0.02515858882779159
ep 2900: mean -0.25259826262931445, std 0.1545074239951498
ep 3000: mean -0.3327894961996554, std 0.2967825888948156
ep 3100: mean -0.9840673015549243, std 0.6884007070564782
ep 3200: mean -0.046137164152934444, std 0.06643416839221655
ep 3300: mean -0.09316210969568385, std 0.041453778759744105
ep 3400: mean -0.1416946438821417, std 0.19455760374613806
ep 3500: mean -1.0121094680942857, std 0.6563733091850397
ep 3600: mean -0.5365303778468626, std 0.5825651745938175
ep 3700: mean -0.08448850901204079, std 0.1496050733935612
ep 3800: mean -0.07777000510451292, std 0.10927993802473877
ep 3900: mean -0.6279519461419685, std 0.5685298219951522
ep 4000: mean -0.038730190513170705, std 0.009615069964755146
ep 4100: mean -0.15940344806286105, std 0.0887852251407468
ep 4200: mean -1.6620417847259303, std 0.9866047245051831
ep 4300: mean -0.5783183303448332, std 0.5214581542988924
ep 4400: mean -1.030673950400828, std 0.7487702557421703
ep 4500: mean -0.3555739700706939, std 0.3683422126696369
ep 4600: mean -0.4144793372373561, std 0.44683428185610785
ep 4700: mean -0.4124267970173758, std 0.4437409744442103
ep 4800: mean -0.020466324007625127, std 0.027682996199553358
ep 4900: mean -0.25197025857641236, std 0.36058274768011034
ep 5000: mean -0.5876901284918352, std 0.473523857525171
