ep 100: mean -2.144025579929393, std 0.11373539906850558
ep 200: mean -0.3425102480442986, std 0.2175461052504992
ep 300: mean -0.606123312183304, std 0.14882405774407692
ep 400: mean -0.5665252708450335, std 0.13116664067393313
ep 500: mean -1.070489987574033, std 0.3464145995584198
ep 600: mean -0.17213240142976385, std 0.17415708874375468
ep 700: mean -0.7578888165540295, std 0.315727434878346
ep 800: mean -0.49899867216956667, std 0.3319936703247365
ep 900: mean -0.08402226624827698, std 0.11856769620991262
ep 1000: mean -0.2181608999170863, std 0.08171745073770235
ep 1100: mean -0.4836375952589201, std 0.38351361134200934
ep 1200: mean -1.6456289446747967, std 0.18611390500633132
ep 1300: mean -0.7953628458011983, std 0.5248470624748336
ep 1400: mean -1.1058927484022418, std 0.1450977318940525
ep 1500: mean -0.40334635536388336, std 0.05952120402263716
ep 1600: mean -0.07150046007750728, std 0.041850431143312807
ep 1700: mean -2.1424766851865704, std 1.1326251888648569
ep 1800: mean -0.2207053798612866, std 0.15463016356866516
ep 1900: mean -1.3243616421807343, std 0.2689162600919061
ep 2000: mean -0.11921844727099072, std 0.1124574080561834
ep 2100: mean -0.37460426431790017, std 0.3636809708985883
ep 2200: mean -0.6489177839110354, std 0.6838454208007289
ep 2300: mean -0.4974673828278493, std 0.18038969965983265
ep 2400: mean -0.6830237902276056, std 0.560832201317257
ep 2500: mean -0.3856992033754748, std 0.40336024425824785
ep 2600: mean -0.8108676897232886, std 0.15591837628789862
ep 2700: mean -0.515070757994832, std 0.12759612076678833
ep 2800: mean -0.09269936320380717, std 0.012956427868313768
ep 2900: mean -0.3423115190002153, std 0.12734956443808165
ep 3000: mean -0.25564362667286494, std 0.1649748988584204
ep 3100: mean -0.9113194452850188, std 0.7526185873417028
ep 3200: mean -0.11203238222334556, std 0.044832326588785276
ep 3300: mean -0.05424392655439934, std 0.03267749886206835
ep 3400: mean -0.19361266053140624, std 0.1773629117207012
ep 3500: mean -0.8980483975252599, std 0.7588228175046282
ep 3600: mean -0.5398135979219003, std 0.5791035475114666
ep 3700: mean -0.08316814681801173, std 0.15023507120218269
ep 3800: mean -0.07412496149596584, std 0.10997924930557872
ep 3900: mean -0.660250114632433, std 0.510186180676864
ep 4000: mean -0.06576674854020048, std 0.023051384550763724
ep 4100: mean -0.1655299233108807, std 0.039934128767117494
ep 4200: mean -1.6752560328986397, std 0.9601683200536468
ep 4300: mean -0.7137242713188903, std 0.48336230501273736
ep 4400: mean -0.9999231080616532, std 0.7662420369578959
ep 4500: mean -0.3388054521027196, std 0.38148287182555046
ep 4600: mean -0.5531155418795087, std 0.3451762934501475
ep 4700: mean -0.4123767184326709, std 0.4434287662147726
ep 4800: mean -0.03200117175451684, std 0.02529760081334374
ep 4900: mean -0.2740022426830127, std 0.34689513929172267
ep 5000: mean -0.5940126059248592, std 0.44543535328057166
ep 5100: mean -0.2332432716986261, std 2.7755575615628914e-17
ep 5200: mean -0.26797347497331175, std 0.05255200872376505
ep 5300: mean -0.34849602671975677, std 0.37166745310697885
ep 5400: mean -0.7300108060107963, std 0.675644570612676
ep 5500: mean -0.40586695007135715, std 0.5051302609614752
ep 5600: mean -0.12504961277066645, std 0.18519932257394553
ep 5700: mean -1.4774471278203793, std 0.9333861297054651
ep 5800: mean -0.40667000117558627, std 0.4728462485164878
ep 5900: mean -0.6460687686090022, std 0.6974789606661193
ep 6000: mean -0.583448822814909, std 0.5348871972855325
ep 6100: mean -0.2317571650428417, std 0.29832100288947805
ep 6200: mean -1.2936151384155028, std 0.8519425100565876
ep 6300: mean -0.7009211675781443, std 0.5901751170529181
ep 6400: mean -0.27007750416784526, std 0.23190041671104983
ep 6500: mean -0.7479878103398644, std 0.7691528566509342
ep 6600: mean -0.4180113004668358, std 0.47178067429864523
ep 6700: mean -0.123647800846518, std 0.13696462467427767
