ep 100: mean -2.1273272423433007, std 0.12261111860022805
ep 200: mean -0.3491865130147787, std 0.21371230681156272
ep 300: mean -0.7302191580477296, std 0.22975537524638812
ep 400: mean -0.510876108696755, std 0.12596734931465994
ep 500: mean -1.2858945750447837, std 0.445453427854183
ep 600: mean -0.15973333734717698, std 0.18132159926878458
ep 700: mean -0.42327172702732, std 0.0412928567327409
ep 800: mean -0.6793696120275056, std 0.26194317932060157
ep 900: mean -0.1222776214835687, std 0.11297606383583222
ep 1000: mean -0.21663759955641418, std 0.09298555684634502
ep 1100: mean -0.49005793947181275, std 0.381471589203583
ep 1200: mean -1.2776825766532005, std 0.37983263711518495
ep 1300: mean -0.778274288404873, std 0.5508235352143169
ep 1400: mean -0.8261461099741914, std 0.07022856231620697
ep 1500: mean -0.2129738809786258, std 0.078951918679434
ep 1600: mean -0.16181028752894336, std 0.05015012542209934
ep 1700: mean -2.099204609247411, std 1.1304142622777877
ep 1800: mean -0.31148955180570326, std 0.11752032381217206
ep 1900: mean -0.9422078132782429, std 0.49764825547634206
ep 2000: mean -0.12190206791269141, std 0.11152207899281895
ep 2100: mean -0.3309302899962352, std 0.3910297848150407
ep 2200: mean -0.7689829110058878, std 0.5945763255054184
ep 2300: mean -0.450981663252913, std 0.19175539292826022
ep 2400: mean -0.6774391302295126, std 0.5608599854896723
ep 2500: mean -0.3610526593197269, std 0.4186927323705872
ep 2600: mean -0.31823589562459176, std 0.39846469886109265
ep 2700: mean -0.298144065829393, std 0.20039052220874576
ep 2800: mean -0.15962033664014166, std 0.04223950891265668
ep 2900: mean -0.2544404590103999, std 0.15138751541010834
ep 3000: mean -0.44479441970273603, std 0.2506325895181487
ep 3100: mean -0.9966098187099034, std 0.6753020266860148
ep 3200: mean -0.24958899383256494, std 0.05274359862701004
ep 3300: mean -0.023138003030243368, std 0.03935850187702498
ep 3400: mean -0.1353194337481965, std 0.1976278019119299
ep 3500: mean -1.0121094680942857, std 0.6563733091850397
ep 3600: mean -0.5835005663581704, std 0.5449050542570906
ep 3700: mean -0.1115769747714502, std 0.13701493002027418
ep 3800: mean -0.2168527410437069, std 0.049404061076453905
