ep 11200: mean -1.0059890353529546, std 0.7665054098088699
ep 11300: mean -0.4554330079333009, std 0.5402614588012349
ep 11400: mean -0.30357310379869334, std 0.18277248818209638
ep 11500: mean -0.36214668733662536, std 0.23340426431696346
ep 11600: mean -1.2042367241228367, std 0.8869724013714174
ep 11700: mean -1.1826489495564472, std 0.830906919644516
ep 11800: mean -0.16484981100142732, std 0.21202008361515798
ep 11900: mean -0.03021257098017122, std 0.03302951884333694
ep 12000: mean -0.18084943451552246, std 0.016121886390483325
ep 12100: mean -0.47423336881545664, std 0.5349995216311533
ep 12200: mean -0.3164258412360724, std 0.39359443355580326
ep 12300: mean -0.35814934726562425, std 0.4215798117387749
ep 12400: mean -0.05072269640461629, std 0.06645923827798786
ep 12500: mean -0.19329569444560576, std 0.22512018080769725
ep 12600: mean -0.39866455120953065, std 0.4636275572117642
ep 12700: mean -0.8431914972505933, std 0.8045889451901861
ep 12800: mean -0.07628210499637104, std 0.10408667432507643
ep 12900: mean -0.833210187767222, std 0.8712008479742527
ep 13000: mean -0.1845751080480979, std 0.06339771575564711
ep 13100: mean -1.3137203789319607, std 0.8634919127807883
ep 13200: mean -0.4191397125562146, std 0.5253518204021117
ep 13300: mean -1.1595193502942795, std 1.0386856606972994
ep 13400: mean -0.9644568260028684, std 0.7346875778594897
ep 13500: mean -0.042260741194349055, std 0.04030712917546061
ep 13600: mean -0.3919729748264805, std 0.41771825701464754
ep 13700: mean -1.2308044688404374, std 1.0219005147240543
ep 13800: mean -0.016955854234605154, std 0.01390209511531155
ep 13900: mean -0.14377015249994674, std 0.12694585963460292
ep 14000: mean -0.1237423243700624, std 0.0857698680437377
ep 14100: mean -0.31357810016794585, std 0.3848267152591584
ep 14200: mean -0.1430992100356984, std 0.1811246382314823
ep 14300: mean -0.043240131473773286, std 0.01965746264688389
ep 14400: mean -0.04511678146171606, std 0.00806088670335231
ep 14500: mean -0.29077280081339685, std 0.28563816746152354
ep 14600: mean -0.07688864255376492, std 0.08053169180084123
ep 14700: mean -0.6141281627127115, std 0.6899917017304134
ep 14800: mean -0.4920327881693596, std 0.4532424287466411
ep 14900: mean -0.4633442823611195, std 0.4662711421567594
ep 15000: mean -0.019759017661172305, std 0.011790723813981616
ep 15100: mean -0.1324906220764874, std 0.1594720697038249
ep 15200: mean -0.024631623871851704, std 0.03350874080403591
ep 15300: mean -0.06996324000432623, std 0.061820088145411935
ep 15400: mean -0.10006502795584936, std 0.14813626899577936
ep 15500: mean -0.33983821205866577, std 0.3549340123421508
ep 15600: mean -0.1567459774368948, std 0.12323005897977553
ep 15700: mean -0.1865711636125058, std 0.24936726815582333
ep 15800: mean -0.05829915190576097, std 0.09543294635932219
ep 15900: mean -1.5191938044980071, std 0.981011120116062
ep 16000: mean -0.1637270845880758, std 0.22720068254728162
ep 16100: mean -0.1721503415428802, std 0.19847375353426622
ep 16200: mean -0.209924427383171, std 0.27635005812580155
ep 16300: mean -0.48080773774662006, std 0.505132337190038
ep 16400: mean -0.2512965706220453, std 0.24150905709278842
ep 16500: mean -0.3049235679947742, std 0.3383334448035629
ep 16600: mean -0.1689270628234993, std 0.23672416767880441
ep 16700: mean -0.43481742242047, std 0.537581825667882
ep 16800: mean -0.029890919223829956, std 0.009292118642356418
ep 16900: mean -0.1591775231776571, std 0.19021831878179188
ep 17000: mean -0.17712838508818143, std 0.24591358287955795
ep 17100: mean -0.15961281522502094, std 0.03295162543107588
ep 17200: mean -0.2371646346225283, std 0.3104937339287533
ep 17300: mean -0.2594862595245216, std 0.30063250252358803
ep 17400: mean -1.7436014249313592, std 1.0463229916124226
ep 17500: mean -0.2237023354998981, std 0.2782655130193784
ep 17600: mean -0.051639025436150954, std 0.09042421436620827
ep 17700: mean -0.22322106454149498, std 0.2802838486198993
ep 17800: mean -0.03975413965947749, std 0.05904385626639308
ep 17900: mean -0.32723019137798176, std 0.29301434053696007
ep 18000: mean -0.07454497039487103, std 0.04771810549777127
ep 18100: mean -0.2474759105086647, std 0.27676242498544856
ep 18200: mean -0.08390556390439112, std 0.03127064206080401
ep 18300: mean -2.2545623517091973, std 1.1879797810183297
ep 18400: mean -0.007637979917847092, std 0.012111718932443394
ep 18500: mean -1.0793028781816094, std 0.7736262252097246
ep 18600: mean -0.8176097270416747, std 0.6229399848083178
ep 18700: mean -0.159230343875293, std 0.20119894964676308
ep 18800: mean -0.2126332096303453, std 0.2806534504283232
ep 18900: mean -0.1277415963482063, std 0.1501484727822769
ep 19000: mean -0.9088547244756355, std 0.8133311076607684
ep 19100: mean -0.016646323327541065, std 0.009895274425741412
ep 19200: mean -0.11174970502760624, std 0.15295508761561144
ep 19300: mean -0.4277629277768336, std 0.48028266744762005
ep 19400: mean -0.12792880238187004, std 0.18508772517093164
ep 19500: mean -0.0550858072695707, std 0.07851230885545749
ep 19600: mean -0.751496287305342, std 0.7059174108837072
ep 19700: mean -0.2864241913114649, std 0.3656506180862242
ep 19800: mean -0.9788152238407858, std 0.9738742724222134
ep 19900: mean -0.6095824282070172, std 0.5733834180921177
ep 20000: mean -0.47790578845273146, std 0.5835568535311918
ep 20100: mean -0.01535324865718224, std 0.02957923661212768
ep 20200: mean -1.8040752975149505, std 1.0832231896901472
ep 20300: mean -0.44014388435688545, std 0.06162267445588193
ep 20400: mean -0.5041992298839523, std 0.48618070069140323
ep 20500: mean -0.24879104328791612, std 0.3506084467761364
ep 20600: mean -0.04897277626297858, std 0.04746097268445525
ep 20700: mean -0.08759754801611708, std 0.14494795440671684
ep 20800: mean -0.5940428907039258, std 0.5520831198386208
ep 20900: mean -0.07707022164281029, std 0.04362006180432688
ep 21000: mean -0.0952576313993603, std 0.11024820591769388
ep 21100: mean -0.04582896849418127, std 0.04512620178533582
ep 21200: mean -0.6191003307849177, std 0.593377880867918
ep 21300: mean -0.09851341100598063, std 0.14429477036417399
ep 21400: mean -0.14790329173434028, std 0.18615940042767315
ep 21500: mean -0.3298927799054894, std 0.341617714937397
ep 21600: mean -0.8861813896279068, std 0.7164720028124275
ep 21700: mean -0.1518188520010335, std 0.23868273151109554
ep 21800: mean -0.03292866848493351, std 0.02643850097546223
ep 21900: mean -0.1751263840996561, std 0.19705311440786843
ep 22000: mean -0.04311746210293574, std 0.07143035270032325
ep 22100: mean -0.17552008060008645, std 0.25093205258747414
ep 22200: mean -0.38598182667524766, std 0.40039207284785067
ep 22300: mean -0.10527053734435529, std 0.1433858606175525
ep 22400: mean -0.057837166132763684, std 0.08318222579785058
ep 22500: mean -0.7745251913828298, std 0.811644847656003
ep 22600: mean -1.0430921091584364, std 0.7673761243116475
ep 22700: mean -0.46228472290540734, std 0.4959632219674087
ep 22800: mean -0.01665903909932078, std 0.018696935032387337
ep 22900: mean -0.4833364146245271, std 0.5739346593966038
ep 23000: mean -0.5271611795613802, std 0.5545223816023044
ep 23100: mean -0.051902760027438204, std 0.03721135364843195
ep 23200: mean -0.1649973247825756, std 0.15444470400820362
ep 23300: mean -0.9662214759833309, std 0.9406256101580727
ep 23400: mean -0.595751007467627, std 0.5570983905094854
ep 23500: mean -0.028227219284091044, std 0.023959989530599662
ep 23600: mean -0.27821354757203987, std 0.31268174740615357
ep 23700: mean -0.18886206035269662, std 0.22442807314746674
ep 23800: mean -0.07616044294955426, std 0.06636726510832927
ep 23900: mean -0.6071417387205815, std 0.5038034775188363
ep 24000: mean -0.021843012155932904, std 0.040363632429738026
ep 24100: mean -0.03492114398906742, std 0.03874914765066498
ep 24200: mean -0.04116293400953591, std 0.01743786248221737
ep 24300: mean -0.10926763265141974, std 0.14163530836913818
ep 24400: mean -0.9158531171903406, std 0.4087832995053982
ep 24500: mean -0.5173047266060334, std 0.5392288328689216
ep 24600: mean -1.4045335293007621, std 0.9450201474736473
ep 24700: mean -1.3718386131038742, std 0.9337792896550944
ep 24800: mean -0.11965341721300315, std 0.1501369541976818
ep 24900: mean -0.07417034668696063, std 0.12534499419175743
